name	distance	shape	rejected
C_046_CPAL	25.3	0.701	
GDX_Tron2	19.7	0.701	
MULTIPLEHITS	36.6	0.702	
CA_Harvester	43.3	0.703	
Space_Meditation	44.3	0.703	
Aurora_Apparition_CPAL	10.8	0.703	
Prize_Mil_Supplies	21.6	0.703	
Synth_X4	25.3	0.703	
Brainer_6	22.5	0.704	
Attack_Ships_On_Fire	23.3	0.704	
ReconCompleted_FG_416_CPAL	31.0	0.704	
Redforge_CPAL	14.1	0.704	
Ninja_Sexy_11	30.0	0.705	
SIMPLETON	50.1	0.705	
Auqa_Ammo_Ped	15.1	0.705	
Ratmen_N_Damsel	43.5	0.705	
Vault_People	31.8	0.706	
Commando2_CPAL	34.5	0.706	
Captain_GoldGreen_CPAL	45.5	0.706	
VOIDKILL	59.7	0.707	
Prize_Small_Shotgun	14.7	0.707	
Robot_Army_Rising_CPAL	39.9	0.707	
C_111	25.4	0.707	
C_034	44.8	0.707	
POISONKILL	34.2	0.708	
Tractor_Beams_CPAL	31.9	0.708	
WildGnome_Marza1_CPAL	19.9	0.708	
Fundamentals_CPAL	38.3	0.708	
Queen_Green_CPAL	36.1	0.708	
Prize_Naval_Gun_2	92.2	0.709	
CA_9	29.9	0.709	
Body_Mind_Soul	21.9	0.709	
Rin_21	24.2	0.709	
Cyber_Lockpick_CPAL	42.3	0.709	
Gudrun_Seductive_CPAL	26.9	0.709	
X52_Ped_CPAL	24.0	0.711	
AI_Lokk_Scav2	26.1	0.711	
C_131_CPAL	26.0	0.712	
Dark_Chamber	26.0	0.712	
REACTIONFIRE	32.9	0.713	
Lola_Pinup_1	32.6	0.713	
Mars_Canyons	26.3	0.714	
Ice_Damsel	37.9	0.714	
Thermal	44.5	0.715	
Magic_Pond	33.1	0.715	
RPS_Ped	29.3	0.715	
CodexRed_FG_455_CPAL	19.8	0.715	
Mechtoid_Friendship_2	19.3	0.715	
ExploringTunnels_FG_345	23.0	0.716	
Sacrificial	12.4	0.716	
Satyr	45.6	0.716	
CA_Airtruck	29.4	0.717	
NEKO_WARRIOR	38.5	0.717	
MONSTER	44.0	0.717	
SynthMuscle_FG_408_CPAL	28.5	0.717	
Defenders_Of_Humanity	28.8	0.717	
BackToSchool_FG_142_CPAL	31.0	0.718	
Catgirl_Victim	23.0	0.718	
C_023_CPAL	15.7	0.718	
Quad_Gal	30.7	0.718	
USO	27.9	0.719	
Gnome_Pod_CPAL	14.3	0.719	
Nocturna_FG_554_CPAL	32.7	0.719	
Hybrid_Agent_CPAL	12.6	0.719	
Ages	39.6	0.720	
Diner_CPAL	36.4	0.720	
Mikasa_2	39.8	0.720	
Hovertank_Chassis_CPAL	30.6	0.721	
RedMage_Frustrated_FG_242_CPAL	21.2	0.721	
Captain_GreenExt_CPAL	25.0	0.721	
Death_Realm_2	17.7	0.721	
SEC_TRD_LDR	23.7	0.721	
X51_Ped	22.0	0.721	
Prize_Black_Adder	45.6	0.722	
X76_Ped	24.5	0.722	
Rin_14	25.3	0.722	
Pistols_3	19.0	0.722	
Catgirl_Pirates	11.8	0.723	
XX66_CPAL	27.6	0.724	
H_005	37.2	0.724	
Prize_Supercharger	20.1	0.724	
PSYCHOKILL	42.1	0.725	
X36_Ped	30.0	0.725	
Dream6_CPAL	23.6	0.726	
AAP_027_CPAL	32.7	0.726	
Shadow_Comms1	23.3	0.727	
Golden_Guns4_CPAL	31.6	0.727	
BlackDragon_FG_408_CPAL	10.8	0.727	
PERSONAL	54.2	0.727	
Stairway	58.0	0.727	
C_041_CPAL	13.1	0.727	
Egypt_Ancient	31.4	0.727	
AIRVAN	22.7	0.728	
Treasure_Box_New_CPAL	40.4	0.728	
Gnome_16B	32.2	0.728	
C_079_CPAL	34.6	0.728	
Suplex	16.9	0.729	
Clown_Party	29.1	0.729	
Strange_Goddess	48.5	0.729	
C_029_CPAL	22.8	0.730	
C_132	17.5	0.730	
Mami_1	24.2	0.730	
Cleopatra_Choice_FG_45_CPAL	42.3	0.730	
Witch_36_CPAL	33.4	0.731	
Gudrun_X5_CPAL	19.9	0.731	
ArmoredCar_FG_101_CPAL	35.4	0.731	
Dancer2_CPAL	17.2	0.731	
Pirate_Sunny_CPAL	13.8	0.732	
Brainer_Work01	81.8	0.732	
X55_Ped	39.0	0.733	
Prize_Holosuit	28.0	0.734	
Homm_1	55.5	0.734	
SPECIALSTUN	30.0	0.735	
Aurora_TeaParty2_CPAL	24.7	0.735	
C_103_CPAL	29.6	0.735	
Brainer_Ritsuko	16.5	0.735	
Cybogal_CPAL	30.1	0.735	
Personal_Shields_3	40.4	0.735	
Reporter_CPAL	25.2	0.735	
Persuasion_FG_241_CPAL	36.6	0.736	
Golden_Witch_Big3_CPAL	26.2	0.736	
C_084_CPAL	19.8	0.736	
The_Silence	26.7	0.736	
RedMageMovesIn_FG_221_CPAL	21.8	0.736	
X_Challenge_CPAL	28.2	0.736	
C_031_CPAL	15.4	0.736	
Harlequin_CPAL	30.5	0.737	
Cyber_Warrior2_CPAL	24.5	0.737	
Control_Panel	28.8	0.737	
Captain_GoldExt_CPAL	36.8	0.737	
Cyberdoll_CPAL	27.2	0.739	
Space_City	27.8	0.739	
WH210_CPAL	12.7	0.739	
RitsukoInerrogN25_CPAL	46.3	0.739	
C_159_CPAL	54.4	0.740	
C_151	32.6	0.740	
Devil_2	20.1	0.740	
Runtsy_076	31.5	0.740	
BEAUTYFORMULA	56.6	0.741	
Zombie_Zombiegal	20.3	0.741	
H_014	42.7	0.741	
Ninja_Champion_T1	33.3	0.741	
WayOfBeast_CPAL	10.8	0.741	
SEC_MRC_ENG	29.7	0.741	
AAP_005_CPAL	27.8	0.742	
Shadowbat_Ped	24.6	0.742	
Space_Pirate_CPAL	34.1	0.742	
X63_CPAL	31.0	0.742	
Prize_Jack	8.6	0.743	
Gnome_Bait2_CPAL	12.0	0.743	
C_138_CPAL	36.9	0.743	
SAVEDALL	34.0	0.743	
Necroplane_CPAL	33.4	0.743	
XC_095_CPAL	19.5	0.743	
DeathMogul_FG_301_CPAL	28.1	0.744	
C_094	24.0	0.744	
Thebes2	23.8	0.744	
C_073_CPAL	31.0	0.745	
C_033_CPAL	36.1	0.745	
X89_Ped_CPAL	27.4	0.745	
Ilya_Armored	24.6	0.746	
BefriendingSlime_FG_120_CPAL	27.5	0.746	
Relax_CPAL	25.9	0.746	
Moloch_CPAL	25.8	0.746	
Siren_X	18.4	0.746	
Captaine_Gray_CPAL	23.7	0.746	
Flintlocks_Ped_CPAL	12.7	0.746	
Crusader2	14.7	0.747	
Brain_Machine_CPAL	28.2	0.747	
Black_And_White_Lady_CPAL	34.6	0.747	
Feudalism_New_CPAL	15.9	0.747	
Ogress_Defeated	28.9	0.748	
Rin_20	24.9	0.749	
Profits	22.3	0.750	
Prize_Plasma_Blades	16.2	0.750	
Pirate_X1_CPAL	21.1	0.750	
RedMage_Pool_FG_234_CPAL	29.5	0.750	
Area_South	27.2	0.751	
X42_Ped_CPAL	13.9	0.751	
SHELLSHOCKED	34.3	0.751	
Captain_GrayNoRed_CPAL	21.3	0.751	
Vampire_Knight	21.9	0.751	
X-Wing_CPAL	20.7	0.752	
HigherStudies_FG_166_CPAL	36.6	0.752	
Dazzling_Harem	32.3	0.752	
Chton1	27.6	0.752	
PiratePartying_CPAL	39.8	0.753	
C_144	26.1	0.753	
Girl_Guide_FG_511_CPAL	18.8	0.753	
WayOfMissedStrike_CPAL	34.5	0.753	
Empress1_CPAL	26.9	0.753	
MELEEKILL	24.3	0.754	
C_083	14.5	0.754	
Glowing_Pyramid	32.9	0.754	
Delorean	44.9	0.755	
SSGL_Ped	2.7	0.755	
SilencedPistol_FG_99B_CPAL	44.1	0.756	
RedMage_FG_Bikini1_CPAL	21.6	0.756	
Fatsub_Ped	30.9	0.756	
H_019_CPAL	14.4	0.757	
C_153_CPAL	35.3	0.757	
Cybercity	36.9	0.757	
Synth_X3	16.0	0.757	
WarPlanet_CPAL	33.8	0.757	
Red_Death	31.5	0.757	
Gnome435_CPAL	30.7	0.757	
Gudrun_Pool2_CPAL	11.1	0.758	
C_050	39.2	0.758	
HypnoPannel_FG_120_CPAL	26.8	0.758	
Biologist_CPAL	16.9	0.758	
C_129	46.9	0.759	
Raider_Camp	33.0	0.760	
Classic_Fleet_CPAL	27.6	0.760	
NEKO_BODYBUILDER	21.3	0.760	
Mastermind_FG_493_CPAL	20.1	0.761	
Pumas	32.8	0.761	
Gnome_Bunny_Armor_CPAL	25.2	0.762	
Space_Pirate3	13.5	0.763	
MUSCLE_MAGOS_CPAL	26.0	0.763	
Three_Sisters	25.4	0.763	
SpaceAssault	36.1	0.763	
Machine_Mistress_CPAL	19.1	0.763	
Power_Surge	22.3	0.763	
X17_Ped	17.3	0.764	
Gudrun_Scared_CPAL	26.2	0.764	
Nocturna_Temptata	20.8	0.764	
GDX_Blood1	25.4	0.766	
Gudrun_Veil1_CPAL	16.2	0.766	
Neophyte_Camp_CPAL	14.7	0.767	
ASSAULTER	18.9	0.767	
HIVER_CPAL	37.6	0.767	
Zombie_Child	35.5	0.767	
Ghoul_Girl	15.8	0.767	
Captain_NoGray_CPAL	29.3	0.767	
Hypno2	27.4	0.767	
Zombie_Dreams_2	23.3	0.768	
Cult_Of_Apocalypse	11.4	0.768	
RevolutionaryGirl_FG_516_CPAL	18.3	0.768	
RedMage_FG_Pool1_CPAL	21.3	0.768	
DesertIntro_FG_375_CPAL	42.6	0.768	
CryptRabbit_CPAL	24.8	0.768	
HIGHNOON	43.8	0.769	
X62_Ped	27.1	0.769	
Airforce_Buff_Gal_CPAL	17.0	0.769	
X24_CPAL	12.5	0.769	
MedExam_CPAL	17.6	0.769	
Sewers	24.1	0.769	
C_008_CPAL	15.5	0.770	
Prize_Autocannons	35.7	0.770	
Ret_Bandito	27.0	0.770	
Stardreams	20.3	0.770	
Reyi_001_CPAL	20.5	0.770	
Knights_Of_Cydonia_OldEarth	32.4	0.770	
Cleo_Cosmic	20.0	0.770	
SLAVEKILLS	24.7	0.770	
Captain_Doublered_CPAL	33.3	0.771	
C_036_CPAL	14.3	0.771	
Hellgate	36.7	0.771	
X53_Ped	24.0	0.771	
Autofire_CPAL	25.2	0.772	
StarGods1B_CPAL	25.9	0.772	
RedMage_Succubus_FG_266_CPAL	17.4	0.772	
Emperor2_CPAL	15.4	0.772	
Nuclear	33.7	0.772	
DisruptorMysticism_FG_374_CPAL	12.2	0.772	
Deep_Ones	29.5	0.772	
C_161	36.9	0.772	
Medical_T1	34.2	0.773	
HEROIC	34.9	0.773	
Prize_Harpoon_Carbine	24.7	0.774	
Jungles_of_Magic_CPAL	37.0	0.774	
NightWitch_FG_37_CPAL	16.5	0.774	
Zombie_School	41.8	0.774	
Jill	29.0	0.774	
war_room_CPAL	18.3	0.774	
X25_Ped	23.6	0.774	
Chaos_Saint_CPAL	13.7	0.774	
Captaine_Red_CPAL	17.0	0.774	
CRIMSON_HEART	47.5	0.774	
MutantFreak_FG_412_CPAL	13.6	0.775	
Shadowrealms_B1_CPAL	32.6	0.775	
Alien_Shore	39.4	0.775	
AI_Ret_Hive_1_CPAL	36.8	0.776	
Alien_Queen	14.9	0.776	
Prize_Ward	16.2	0.776	
Halls_Of_Fear	22.6	0.776	
Wanderer	11.6	0.776	
Hoverbike	43.5	0.776	
Godslayer	28.1	0.777	
ChemicAI1_CPAL	20.7	0.777	
WOMANOFCULTURE	38.7	0.777	
Enslaved	17.1	0.777	
The_Pit	31.3	0.777	
CHARMY_DANCER	41.8	0.778	
Gudrun_Harto2_CPAL	21.2	0.778	
Powerups_Marza3_CPAL	26.1	0.778	
Spaceships_9	24.5	0.778	
Gal	19.0	0.778	
GudrunDuel5FG_CPAL	19.2	0.779	
GunAssembly_FG_132_CPAL	30.6	0.779	
Demon_Ninja	14.9	0.779	
Space_Invader	66.2	0.779	
Ninja_Champion_T1_Enslaved	33.2	0.779	
Gudrun_Pinup_CPAL	26.0	0.779	
Elevator_To_Hell_CPAL	14.5	0.780	
Ancient_Civs_CPAL	28.0	0.780	
C_156	31.2	0.781	
WhiteWormPed	31.9	0.781	
ELECTROKILL	46.5	0.782	
SLASHER_CPAL	27.4	0.782	
VirtualCore	27.1	0.783	
RedMage_FG_Bondage2_CPAL	43.9	0.783	
Captain_GrayGold_CPAL	28.0	0.783	
GDX_Vampy_342_CPAL	18.9	0.783	
GudrunPrisoner24_cut_CPAL	14.4	0.783	
PlastaSteel_FG_416_CPAL	24.5	0.784	
Knights_Of_Cydonia_4	66.4	0.784	
BloomLady_IntroA_FG_356_CPAL	24.9	0.785	
AAP_002	32.6	0.785	
FighterJetHangar_FG_83_CPAL	22.5	0.785	
MISSION_KILLS_23	31.5	0.786	
WayOfShadow_CPAL	31.3	0.786	
Aurora_Sad_FG_702_CPAL	22.2	0.787	
C_035_CPAL	40.5	0.788	
ShadeSummoning_FG_101_CPAL	33.5	0.788	
NEON_MAGOS_CPAL	23.2	0.789	
Planet_66	37.8	0.789	
Jack	24.0	0.789	
C_133_CPAL	44.4	0.790	
Spacebar4_CPAL	24.7	0.790	
AI_CrashSite_11_CPAL	23.8	0.790	
LootDistribution_FG_133_CPAL	23.9	0.790	
Golden_Lady_AI_CPAL	22.3	0.791	
CouncilAppears	29.6	0.791	
Canny_Ritual	18.7	0.792	
CleoStatue_CPAL	17.6	0.792	
Aurora_Dancing_FG_334_CPAL	24.9	0.792	
Gudrun_Rnd3_CPAL	22.6	0.792	
GDX006_4_CPAL	23.6	0.792	
FUSION	45.2	0.793	
Captain_NoGold_CPAL	10.1	0.793	
RedMage_Sarcophagus_FG_83_CPAL	34.6	0.793	
Queen_Of_Shadows_CPAL	32.3	0.793	
Ninja_Cloning	35.8	0.793	
Skyranger_Remake	42.7	0.794	
Tentacle_Torture_CPAL	22.7	0.794	
SPY_AWARD	44.5	0.794	
Vampire_2	24.2	0.794	
Aurora_Prisoner3_CPAL	35.2	0.794	
MONSTER_HUNTER	26.6	0.794	
X44_Ped_CPAL	17.4	0.795	
Magic_Shop	13.7	0.795	
Glittergirls_CPAL	34.7	0.795	
PURPLE_HEART	30.7	0.795	
Ghoul_Experiments	16.6	0.795	
Vampire_4	13.6	0.795	
Trump_Card_CPAL	20.4	0.796	
Temple_of_the_Deep	20.8	0.796	
Area_Europe	58.5	0.796	
RedMage_Spa_FG_227_CPAL	30.0	0.796	
Soldier1	74.0	0.797	
FireWitch_FG_64_CPAL	17.2	0.797	
Missions_B	14.7	0.797	
M_HULL	69.8	0.797	
Gudrun_X_CPAL	16.5	0.797	
C_124_CPAL	17.0	0.797	
Hitman	15.4	0.797	
Monster_Hunt	27.5	0.797	
XC_155	33.3	0.798	
NaziBase2	31.5	0.798	
Intro_00	22.1	0.799	
Ex_Victim_2_CPAL	15.5	0.799	
DOTS	37.6	0.799	
C_102	19.7	0.800	
H_001_CPAL	37.5	0.800	
MAGES_CPAL	35.2	0.800	
WayOfClaw_CPAL	32.0	0.801	
Pharmacist_FG_338_CPAL	28.8	0.801	
CA_Airbus_G_CPAL	42.7	0.801	
Hellerian_2x	17.5	0.801	
XX41_CPAL	28.3	0.801	
Airforce	23.8	0.801	
Cannoneer2_CPAL	28.4	0.802	
Dark_Chamber_2	26.7	0.802	
C_093_CPAL	27.5	0.802	
usfacility	29.7	0.803	
Intro_GudrunLessons_CPAL	49.5	0.803	
Poltergeist_FG_412_CPAL	22.6	0.804	
CARREER_SCORE	16.5	0.805	
Gudrun_ResearchMethods_Grok_72_CPAL	35.4	0.805	
NEKO_ACE	28.9	0.805	
Intro_06_CPAL	21.5	0.805	
Sarah_Palin	25.3	0.805	
DarkStar_FG_154_CPAL	29.0	0.805	
LOGICAL	38.1	0.805	
C_155	40.0	0.805	
MASOCHIST	40.2	0.806	
XX19_CPAL	24.2	0.806	
CA_JET2	33.3	0.806	
C_062_CPAL	20.1	0.806	
Tunnel_C1	26.1	0.806	
Queen_Warrior	14.8	0.806	
Planet04	31.6	0.806	
IMMORTAL	30.5	0.807	
C_104	32.8	0.807	
Golden_Apple_CPAL	35.1	0.807	
Pharmacology_CPAL	41.5	0.808	
XX42	36.8	0.808	
Krazy_Hanna	21.9	0.808	
Storage_CPAL	13.0	0.808	
NEKO_HERBALIST	34.1	0.808	
Angel_CPAL	14.6	0.808	
Interface_X1_CPAL	30.3	0.808	
Alien_Terror	15.8	0.808	
C_163_CPAL	27.0	0.808	
BlackDragon_Caged_FG_716_CPAL	23.1	0.809	
Squire	20.8	0.809	
EquipmentList_FG_134_CPAL	18.4	0.809	
Minecraft_19_CPAL	18.5	0.809	
DrillQuestion_FG_123_CPAL	27.3	0.809	
C_009_CPAL	27.9	0.809	
Nekomimi_Speaker	16.1	0.810	
LONGEVITY	38.8	0.810	
CA_Faust	31.3	0.810	
C_078_CPAL	23.0	0.811	
Akimbo_Lady	20.3	0.811	
Interface_X2	28.2	0.811	
PrisonCafe_FG_587_CPAL	22.2	0.811	
C_077	24.6	0.812	
Eris	9.6	0.812	
AI_WinoDino04_CPAL	32.1	0.812	
Trade	24.7	0.812	
Witch_47	10.0	0.812	
MagnumPrize_FG_99_CPAL	29.7	0.812	
Metropolis_CPAL	29.7	0.812	
Saya_16_CPAL	23.5	0.813	
Blue_Witch_AI1_CPAL	19.8	0.813	
Booty_RET	8.0	0.813	
Exotic_Places	21.0	0.814	
HELI	29.1	0.814	
X23_Ped_CPAL	12.1	0.814	
NIGHTSTALKER_CPAL	28.7	0.814	
MioFantasy_PC_43_CPAL	27.5	0.814	
Gnome_28	23.0	0.815	
Prize_Martial_Arts	15.9	0.815	
Cowgirl_CPAL	19.5	0.816	
Captain_Doublegreen_CPAL	16.7	0.816	
C_043_CPAL	14.6	0.816	
C_058_CPAL	30.5	0.816	
Girl_Snake_CPAL	14.2	0.816	
ShadowrealmsVision_FG_82_CPAL	23.2	0.816	
Orbital_Cannon	33.5	0.817	
MiningExtreme_FG_386_CPAL	16.5	0.817	
Kitsune	37.3	0.818	
X97_Ped	19.9	0.818	
BlimpPed	24.6	0.818	
WastelandPriestess_FG_176	36.5	0.818	
Medical_Production_8_CPAL	36.5	0.818	
German_Lessons	33.0	0.818	
BATTLEMAGE	33.2	0.819	
PURITY	32.1	0.819	
H_010	36.8	0.819	
C_019_CPAL	35.0	0.819	
SADIST	30.4	0.820	
WalkThePlank_Grok_83_CPAL	22.9	0.820	
Bike_4	32.6	0.820	
GDX_FG_Cauldron_CPAL	27.4	0.820	
SUN_KNIGHT	40.1	0.820	
Ethereal_Female	17.9	0.821	
Gudrun_Lewd_N2	32.0	0.821	
NIGHTOPS	25.7	0.821	
SAMURAI	22.0	0.821	
Cat_War_Poster	22.0	0.821	
AIRSPEEDER	37.1	0.822	
C_044_CPAL	22.2	0.822	
Ogre_Worker	17.7	0.822	
Powergal	34.3	0.823	
Campus_69_CPAL	27.0	0.823	
C_157_CPAL	33.7	0.823	
Aurora_Cosplay1_CPAL	21.3	0.823	
SoulSense_FG_344_CPAL	31.7	0.823	
Illya_Furs_5_CPAL	21.2	0.824	
GDX_Sci_CPAL	14.1	0.824	
Greencopter_CPAL	16.7	0.825	
C_082	33.9	0.825	
Ninja_Sexy3	20.8	0.825	
Moon_Mistress	37.8	0.825	
SensoSphere_FG_183_CPAL	29.2	0.825	
CAMPAIGN_RIBBON	32.5	0.826	
DeepOneDestroyer_FG_44_CPAL	28.4	0.826	
Precision_FG_424_CPAL	30.7	0.827	
OwlGirl_FG_421_CPAL	15.5	0.827	
Crusades	25.6	0.827	
Alchemy_CPAL	8.1	0.828	
Gnome_Firestarter_CPAL	29.4	0.828	
UNCONSCIOUS	46.0	0.828	
GnomeLair_FG_478_CPAL	16.5	0.829	
C_018_CPAL	20.3	0.829	
Julie_111_CPAL	20.2	0.829	
Intro2_FG_1_CPAL	28.2	0.830	
Arcane_Weaponry_CPAL	13.0	0.830	
Astronaughty_CPAL	28.0	0.830	
Prize_Durathread_CPAL	24.3	0.830	
Nastassia_Grok_49_CPAL	9.7	0.830	
Light_Dark	21.4	0.831	
Gold 21_CPAL	21.6	0.831	
Durathread_FG_602_CPAL	12.2	0.831	
Castaway_CPAL	19.6	0.832	
Little_Bird	26.0	0.832	
PARIAH	42.6	0.832	
GudrunAbyss_CPAL	29.2	0.832	
Big_Guns_P1_CPAL	23.7	0.832	
AAP_004_CPAL	16.5	0.833	
LoadingBay_FG_71_CPAL	25.9	0.833	
AuroraHatter113_CPAL	29.1	0.834	
BETRAYER	13.8	0.834	
VSnake_Pedia	21.7	0.834	
xcomorigins	33.5	0.834	
Gambling_FG_704_CPAL	24.6	0.834	
C_087_CPAL	28.9	0.835	
Durathread_FG_407_CPAL	14.3	0.835	
REVOLOTIONARY13_CPAL	17.5	0.835	
Phlegethon	17.7	0.835	
SMGKILL_CPAL	21.5	0.835	
BloomLady_FG_419_CPAL	22.3	0.836	
Sivalinga_Ritual_19_CPAL	28.1	0.836	
Apostate	15.6	0.837	
Another_Mask_CPAL	9.2	0.837	
InsideBase_FG_339_CPAL	18.9	0.837	
GudrunOnTheMountain_FG_101Cut_CPAL	16.8	0.837	
Missions_D	25.5	0.837	
C_022_CPAL	17.1	0.838	
StasisPods_FG_46_CPAL	29.6	0.838	
Intro_00Splash	17.1	0.838	
Nun_Lenin_CPAL	17.6	0.838	
LordCrossroads_FG_731B_CPAL	20.7	0.839	
Peasants_New	41.0	0.839	
Captain_RedGray_Only_CPAL	14.3	0.839	
C_060_CPAL	16.9	0.839	
GUNNER	18.5	0.839	
Red_Sun_Dreams_CPAL	22.8	0.840	
AirFiltration_FG_178_CPAL	21.1	0.840	
Crashland_CPAL	23.0	0.840	
Pir_Bizley1_CPAL	14.3	0.840	
Pirate_X17_CPAL	22.4	0.841	
WayOfPain_CPAL	15.1	0.841	
miura_0100_CPAL	31.7	0.841	
JOKER	46.9	0.841	
C_107	23.8	0.841	
Cigar_Gal_CPAL	20.0	0.841	
C_032_CPAL	16.1	0.841	
GDX_Inventions2_CPAL	17.3	0.841	
UnderseaTower200_CPAL	14.8	0.842	
WarriorGal_FG_512_CPAL	36.5	0.842	
XC_117	13.6	0.842	
Gnome_6_CPAL	9.4	0.842	
Hotkeys	13.2	0.843	
BANDITCATCHER	37.6	0.843	
C_136_CPAL	27.1	0.843	
SABRE	32.8	0.844	
Gadgeteer_CPAL	19.8	0.844	
Witch_39_CPAL	16.8	0.844	
Cadillac_El_Dorado	26.3	0.844	
BLITZGAL	31.7	0.844	
7V7KILL	29.4	0.844	
VAULT	21.8	0.844	
C_052_CPAL	27.7	0.844	
Ninja_Pinup_01	21.6	0.844	
Dominance_CPAL	29.2	0.844	
MutantFreak_FG_413_CPAL	10.2	0.844	
SheDevilShrine_CPAL	17.2	0.845	
MCSP_CPAL	32.1	0.846	
Booty_HUM	19.0	0.846	
Ex_Victim	15.7	0.846	
C_071_CPAL	12.0	0.846	
Dreamlands_Blx1	29.2	0.846	
Antarctica_Jungles_CPAL	25.4	0.847	
Captain_GrayGreenOnly_CPAL	18.0	0.847	
Bane2	13.4	0.848	
Witch_60_CPAL	23.7	0.848	
Jetbike_Delivery_CPAL	42.2	0.848	
Rage	19.1	0.848	
NEKO_HONORED	22.3	0.848	
DESTRUCTOR	23.1	0.848	
Blackmarch_CPAL	10.9	0.849	
Poisons_FG_208_CPAL	20.9	0.849	
C_074_CPAL	14.6	0.849	
GudrunShadowrealmsExperience_FG_103_CPAL	10.3	0.849	
FIREARMS11_CPAL	16.0	0.850	
FRIENDLYFIRE_CPAL	24.4	0.850	
Mami_11	17.2	0.850	
RedMage_Piano_FG_83_CPAL	24.7	0.850	
Hunterkillers	16.5	0.850	
Gudrun_Honeymoon_FG_222_CPAL	26.7	0.850	
Mansions_Invasions_New_CPAL	21.5	0.851	
DeathWitch_FG_34_CPAL	19.4	0.852	
ReticulanVats_FG_250_CPAL	19.0	0.852	
GudrunDuel2FG_CPAL	27.6	0.853	
HelleriumCharm_Marza1_CPAL	23.4	0.853	
Shadow_Gate_M_CPAL	19.3	0.853	
Ogress2	13.1	0.853	
DayWitch_FG_36_CPAL	14.9	0.854	
Damaged	20.2	0.854	
C_146_CPAL	20.0	0.854	
Prize_Bank	26.9	0.854	
ShadowPlanet	14.5	0.854	
Temple_Door	29.1	0.854	
Menace-3	22.9	0.855	
Rain_Girl_CPAL	14.3	0.855	
Captain_GoldNoGray_CPAL	26.8	0.856	
MedicalStuff_FG_450_CPAL	20.5	0.856	
CARREER_CAPTURES_CPAL	26.4	0.856	
Lokk_Naar_Mercenary	15.1	0.856	
Gambling_CPAL	24.6	0.856	
Cloning_FG_754_CPAL	25.0	0.857	
NinjaClone_FG_382_CPAL	7.5	0.857	
Shotguns_3	16.1	0.857	
XX72_CPAL	23.1	0.857	
C_059_CPAL	25.1	0.857	
PRIMALKILL	29.0	0.858	
Toppling_Towers_CPAL	36.5	0.858	
Spartan_Ped	12.4	0.858	
PurpleShield_FG_451_CPAL	14.4	0.859	
Weirdgal_FG_232_CPAL	13.6	0.859	
H_012	41.6	0.859	
BRIDE	28.6	0.859	
C_158_CPAL	14.5	0.860	
Cave1	29.7	0.860	
OFFICER	28.7	0.860	
LONESURVIVOR	41.3	0.860	
Ninja_Assault_4_CPAL	17.7	0.860	
RedMageRitual_FG_443_CPAL	31.1	0.860	
C_040_CPAL	13.6	0.860	
ATOMIC	27.3	0.860	
Aliens_Horny_P1_CPAL	18.6	0.860	
MagicBallBat_FG_301_CPAL	14.3	0.861	
Vampirella_Neo_CPAL	46.2	0.861	
Syn_Apoc	24.2	0.861	
House_On_The_Hill_CPAL	17.1	0.861	
Scamming_Marza1_CPAL	21.4	0.861	
CodexBlue_FG_475_CPAL	23.1	0.861	
Mountain_Base	12.5	0.861	
Brainers_FG_324_CPAL	28.6	0.861	
Wizard1	25.1	0.861	
Academy_Training	8.4	0.862	
NekomimiNetwork_CPAL	24.0	0.862	
BloomLady_FG_420_CPAL	33.9	0.862	
GudrunDuel4FG_CPAL	25.3	0.863	
Gnome_Demonslayer_CPAL	11.7	0.863	
C_030_CPAL	9.0	0.863	
Solmine_Outpost	22.5	0.863	
BloodVines_FG_376_CPAL	14.3	0.863	
MURDERER	18.6	0.863	
HelleriumExplosives_FG_114_CPAL	25.6	0.864	
GudrunMedExam_CPAL	16.5	0.864	
SpecialEquips_PCH_109_CPAL	13.0	0.864	
BloomLady_CrawlMovement_FG_544_CPAL	15.3	0.865	
Hybrid_Twilight	18.8	0.865	
xdreams_red_sun_sea_CPAL	15.3	0.865	
XXSniperNew1_CPAL	14.2	0.865	
Motoko_Stasis_CPAL	22.0	0.865	
C_152_CPAL	22.0	0.866	
C_028_CPAL	34.7	0.867	
RebelTrade1_CPAL	19.1	0.867	
Gudrun_and_Captain	11.0	0.867	
Queen_Magnificient	19.3	0.867	
Loot_Distribution	16.7	0.868	
Aurora_Video_FG_691_CPAL	23.0	0.868	
X37_CPAL	7.9	0.868	
C_010_CPAL	26.9	0.868	
Aurora_26_CPAL	16.9	0.868	
Jetbike_5	30.2	0.868	
WastelandGirl_FG_522_CPAL	17.2	0.869	
GoldenCrack_Marza1_CPAL	28.7	0.869	
Wpns_2b	21.2	0.869	
SX_1	14.0	0.870	
GoldenShield_FG_441_CPAL	31.8	0.870	
Aurora_Ignored_FG_262_CPAL	26.9	0.870	
Pirate_X51_CPAL	14.3	0.870	
Gudrun_Spy_Cut_CPAL	8.5	0.870	
Gudrun_Jedi_CPAL	18.1	0.870	
Tec_Corpse	15.5	0.870	
Avalanche_Manuf	22.8	0.870	
X77_Ped	12.1	0.871	
Death_Realm	18.2	0.871	
Queen_Savage_CPAL	23.7	0.871	
CA_19	45.6	0.872	
IntroPeasants_FG_564_CPAL	21.1	0.872	
HELTH_CPAL	20.5	0.873	
Trading_CPAL	10.7	0.873	
